ID_kod,PKWiU,CN
1253,11.03,
1254,11.03.1,
1255,11.03.10,
1256,11.03.10.0,
1257,11.03.9,
1258,11.03.99,
1259,11.03.99.0,
1260,11.04,
1261,11.04.1,
1262,11.04.10,
1263,11.04.10.0,
1264,11.04.9,
1265,11.04.99,
1266,11.04.99.0,
1267,11.05,
1268,11.05.1,
1269,11.05.10,
1270,11.05.10.0,
1271,11.05.2,
1272,11.05.20,
1273,11.05.20.0,
1274,11.05.9,
1275,11.05.99,
1276,11.05.99.0,
1277,11.06,
1278,11.06.1,
1279,11.06.10,
1280,11.06.10.0,
1281,11.06.9,
1282,11.06.99,
1283,11.06.99.0,
1284,11.07,
1285,11.07.1,
1286,11.07.11,
1287,11.07.11.0,
1288,11.07.19,
1289,11.07.19.0,
1290,11.07.9,
1291,11.07.99,
1292,11.07.99.0,
1293,12,
1294,12.0,
1295,12.00,
1296,12.00.1,
1297,12.00.11,
1298,12.00.11.0,
1299,12.00.12,
1300,12.00.12.0,
1301,12.00.19,
1302,12.00.19.0,
1303,12.00.2,
1304,12.00.20,
1305,12.00.20.0,
1306,12.00.9,
1307,12.00.99,
1308,12.00.99.0,
1309,13,
1310,13.1,
1311,13.10,
1312,13.10.1,
1313,13.10.10,
1314,13.10.10.0,
1315,13.10.2,
1316,13.10.21,
1317,13.10.21.0,
1318,13.10.22,
1319,13.10.22.0,
1320,13.10.23,
1321,13.10.23.0,
1322,13.10.24,
1323,13.10.24.0,
1324,13.10.25,
1325,13.10.25.0,
1326,13.10.26,
1327,13.10.26.0,
1328,13.10.29,
1329,13.10.29.0,
1330,13.10.3,
1331,13.10.31,
1332,13.10.31.0,
1333,13.10.32,
1334,13.10.32.0,
1335,13.10.4,
1336,13.10.40,
1337,13.10.40.0,
1338,13.10.5,
1339,13.10.50,
1340,13.10.50.0,
1341,13.10.6,
1342,13.10.61,
1343,13.10.61.0,
1344,13.10.62,
1345,13.10.62.0,
1346,13.10.7,
1347,13.10.71,
1348,13.10.71.0,
1349,13.10.72,
1350,13.10.72.0,
1351,13.10.8,
1352,13.10.81,
1353,13.10.81.0,
1354,13.10.82,
1355,13.10.82.0,
1356,13.10.83,
1357,13.10.83.0,
1358,13.10.84,
1359,13.10.84.0,
1360,13.10.85,
1361,13.10.85.0,
1362,13.10.9,
1363,13.10.91,
1364,13.10.91.0,
1365,13.10.92,
1366,13.10.92.0,
1367,13.10.93,
1368,13.10.93.0,
1369,13.10.99,
1370,13.10.99.0,
1371,13.2,
1372,13.20,
1373,13.20.1,
1374,13.20.11,
1375,13.20.11.0,
1376,13.20.12,
1377,13.20.12.0,
1378,13.20.13,
1379,13.20.13.0,
1380,13.20.14,
1381,13.20.14.0,
1382,13.20.19,
1383,13.20.19.0,
1384,13.20.2,
1385,13.20.20,
1386,13.20.20.0,
1387,13.20.3,
1388,13.20.31,
1389,13.20.31.0,
1390,13.20.32,
1391,13.20.32.0,
1392,13.20.33,
1393,13.20.33.0,
1394,13.20.4,
1395,13.20.41,
1396,13.20.41.0,
1397,13.20.42,
1398,13.20.42.0,
1399,13.20.43,
1400,13.20.43.0,
1401,13.20.44,
1402,13.20.44.0,
1403,13.20.45,
1404,13.20.45.0,
1405,13.20.46,
1406,13.20.46.0,
1407,13.20.5,
1408,13.20.50,
1409,13.20.50.0,
1410,13.20.9,
1411,13.20.99,
1412,13.20.99.0,
1413,13.3,
1414,13.30,
1415,13.30.1,
